Wavelength F_lambda Error
3250 0.0023721719330309556 0.0006233310826379618
3260 0.0024845826655849916 0.0006063181086517638
3270 0.002443711544847833 0.000597563140250982
3280 0.0016756393358228474 0.0005926739641260847
3290 0.002552980996019186 0.0005960944027546608
3300 0.0016815353702152541 0.0005960357467165963
3310 0.0020824304640783293 0.0005781497848619402
3320 0.002233202451683173 0.0005709278663225991
3330 0.002233750739100821 0.0005429521952083733
3340 0.0034701934847200214 0.0005309132407709439
3350 0.0026896887088956618 0.0005155457374487976
3360 0.0023055846812195034 0.0004980630243658662
3370 0.0027613692683087763 0.0004905640304028507
3380 0.0024285994458147506 0.00048175648042717267
3390 0.0020678437079914417 0.00047694712750351006
3400 0.0027843141479364287 0.00045931632922091033
3410 0.002090121995245534 0.00044759245428940467
3420 0.002225292972137346 0.00043893572094335406
3430 0.0013211605416060044 0.00042655818793155455
3440 0.0017204103986132333 0.00041839232322100363
3450 0.001972433425232714 0.0004142985649899455
3460 0.002167241494589949 0.0004143641026317226
3470 0.001960450504560707 0.00040992609610627676
3480 0.001919522052653317 0.0004069695232618819
3490 0.002361176903730777 0.0003942093421625184
3500 0.002293878371831133 0.00038629254465795805
3510 0.0022681143983206706 0.00038874938974659516
3520 0.0023582028383273847 0.0003812758122562282
3530 0.0022018690498302193 0.0003806842616135287
3540 0.0021595482547911962 0.0003538639763665459
3550 0.0022147384507931627 0.00035048569684823086
3560 0.002112179572841375 0.00033960717708514664
3570 0.0023304529155468647 0.00034224102336301553
3580 0.002087897066623721 0.00031850578165219383
3590 0.002401574528048385 0.0003118628156931199
3600 0.002758173931087073 0.0003070136195110497
3610 0.0024612590280702756 0.00029905222368012684
3620 0.002560366513112774 0.0002935611176727693
3630 0.0022793706642449626 0.0002893863568780973
3640 0.002284592157633584 0.00028392053594299973
3650 0.0024177384704615725 0.000277389525515363
3660 0.0026819327573000327 0.00027517041368064436
3670 0.0029007369876763007 0.0002673598852339566
3680 0.0027380845410451765 0.000263773106212021
3690 0.0026327812085804427 0.00025915205967371043
3700 0.0027896653256893776 0.0002538992443644504
3710 0.002819062378338655 0.00025095958935199687
3720 0.0028880474827915024 0.00024521816549446645
3730 0.00269649496680926 0.00024139922542751525
3740 0.0027020482392393257 0.00023692771813059417
3750 0.002952101711562353 0.00023538372168832082
3760 0.0033319657123915534 0.00023430372994993155
3770 0.0029907721154059847 0.00023072121349064216
3780 0.0030309978150848027 0.0002269093739374306
3790 0.0030330119744026046 0.00022757905137649534
3800 0.003229282561333065 0.0002235313094131982
3810 0.0032943577999709154 0.0002219564872182403
3820 0.003154948836279846 0.0002181453845123841
3830 0.0030420160786997297 0.00021210388121039014
3840 0.0030702932513616 0.00021265963943099727
3850 0.0033134395283912405 0.00021056431173243736
3860 0.0033528697463773485 0.00020709378324593498
3870 0.0034201977600697765 0.00020668722711588949
3880 0.0033724058631798125 0.0002044537006824218
3890 0.003366733802357695 0.00020184202529977322
3900 0.003568156755517929 0.00020021982389858766
3910 0.0034391466451789035 0.00019741530725334174
3920 0.003573551554498926 0.0001909803077353344
3930 0.0030217228816555347 0.00018786897046859884
3940 0.0035529001267386516 0.00018309496590279264
3950 0.0035992821418461525 0.00018071601218862954
3960 0.003366897091074181 0.00017901310760265641
3970 0.0033498054085879217 0.00017848313054857779
3980 0.003846358707504621 0.00017646107992931836
3990 0.004314583316036158 0.00017388830072149187
4000 0.004428541951957441 0.00017199462448229676
4010 0.00476179041498936 0.00016968535955483516
4020 0.004739930745168342 0.00016806452539044967
4030 0.00475698598351172 0.00016857520885684896
4040 0.004862252476321026 0.00016490183657039018
4050 0.004921713443543489 0.00016468631588405566
4060 0.004613679088480828 0.00016321149046166696
4070 0.004756391858836574 0.00016175915724163443
4080 0.004831116730781724 0.00015928624616768394
4090 0.00471996086480294 0.00015619174670507713
4100 0.0046100953656933105 0.00015507089332554767
4110 0.004544610466293428 0.00015257120136448195
4120 0.004588618829748734 0.00014990042074652102
4130 0.004855751762899776 0.0001495653428026932
4140 0.004947126736260546 0.00014802894644252955
4150 0.004820750819664217 0.0001451761917158635
4160 0.004743581923266725 0.0001445826296091092
4170 0.004778218729366241 0.0001413348613070424
4180 0.0049000564120648465 0.00014125610860073773
4190 0.00479274093032335 0.00014160996622140286
4200 0.005024235012324132 0.00013859722077403058
4210 0.004937452492043315 0.0001363065960143606
4220 0.005044944469277763 0.00013501076725199086
4230 0.005124634532882775 0.0001348076711141572
4240 0.004939295000220717 0.000133343064991874
4250 0.005015977767740859 0.00013354630892296445
4260 0.005084665194593645 0.00013129782361880006
4270 0.005134900235012366 0.00012995829904136183
4280 0.00507625840154944 0.00012949749118995393
4290 0.004815908328356762 0.00012942539177766322
4300 0.004807003592629324 0.0001271331220465491
4310 0.004694772582985885 0.00012928129893840796
4320 0.005051006294021227 0.00012754410594606363
4330 0.004882681585807605 0.00014068870541323177
4340 0.004816379348822055 0.00015022659484018806
4350 0.00490480678785187 0.00014859237840142387
4360 0.005092427634761318 0.00014647535827761168
4370 0.005190168146411986 0.0001463849835228906
4380 0.005305665489750055 0.00014562528245490962
4390 0.005207674005054859 0.00014308549186904906
