ID ra dec
386 189.218233 62.112497
542 189.099532 62.115753
1184 189.206958 62.1297
2023 189.225357 62.139447
2116 189.084282 62.141001
2265 189.064897 62.142943
2302 189.084527 62.145644
2390 188.994381 62.143142
2484 189.086981 62.144791
2684 189.091908 62.147403
2882 189.0449 62.14916
2913 189.05517 62.147938
2960 189.096674 62.148598
3125 189.027975 62.148724
3133 189.086191 62.151829
3735 189.076623 62.153706
3843 189.080112 62.156364
4108 189.127835 62.158033
4748 189.063398 62.162352
4868 188.995669 62.164478
4907 188.98422 62.164231
6026 189.121443 62.170738
6284 189.199728 62.172293
6453 189.058418 62.173606
8466 189.156533 62.184931
8912 189.065631 62.186165
8949 189.089179 62.186292
9056 189.056217 62.188475
9341 188.953246 62.188054
9533 189.027871 62.189327
9582 189.171432 62.190277
9623 189.18496 62.192552
9692 189.358117 62.191299
9861 189.317228 62.191831
10338 189.202675 62.194843
10539 189.202409 62.194459
11004 189.359313 62.196221
11626 188.933378 62.199277
11814 189.217095 62.200346
12173 189.022674 62.201896
12406 189.314398 62.203299
12739 189.254053 62.204662
13041 188.934519 62.206753
13117 189.260877 62.206599
13718 189.229293 62.209512
14132 189.190249 62.211662
14140 189.18383 62.212455
14346 189.30622 62.212673
14713 189.236333 62.214608
15359 189.349967 62.217878
15439 189.357565 62.217933
15529 189.408089 62.219165
15616 189.238403 62.218809
15786 189.409806 62.219767
16758 189.162357 62.22484
17070 189.268086 62.226445
17436 189.171078 62.227726
17735 189.060905 62.228977
17746 189.049436 62.228979
17969 188.991473 62.230509
18000 189.024326 62.230651
18241 189.397715 62.231726
18838 188.986425 62.235108
19263 188.969179 62.236086
19442 189.123036 62.23746
20432 189.362767 62.242309
20851 189.45051 62.24403
21156 189.239409 62.247548
21427 189.368121 62.247344
21724 189.063257 62.248675
21810 189.500546 62.248718
22027 189.06579 62.249816
22633 189.1617 62.252923
23026 189.032759 62.254732
23187 189.514647 62.255244
23254 189.349606 62.255761
23435 189.338306 62.256571
23498 189.417612 62.257164
23624 189.008627 62.257392
23857 189.070894 62.259299
25662 189.455572 62.269014
26350 189.53637 62.27167
26470 189.495303 62.271754
26796 189.392052 62.273468
27185 189.242059 62.27751
27600 189.077863 62.278531
28565 189.520241 62.282728
29464 189.175778 62.2896
29714 189.411274 62.291093
30492 189.105597 62.293735
30801 189.101852 62.295887
30813 189.546754 62.294891
31022 189.440758 62.296856
31207 189.50634 62.297361
32000 189.098841 62.302608
32128 189.362423 62.3031
32562 189.16889 62.309192
32566 189.16128 62.307577
32691 189.347593 62.307165
32841 189.098553 62.310333
33093 189.331982 62.310363
33263 189.099803 62.311273
33675 189.095343 62.314921
33780 189.202025 62.317153
34241 189.447876 62.318296
34326 189.422374 62.319423
34580 189.41977 62.322214
34630 189.444194 62.321885
34694 189.14784 62.323647
35099 189.388554 62.326692
35208 189.395519 62.32669
35299 189.360002 62.3291
35469 189.2206 62.329662
35493 189.397394 62.329533
35835 189.212077 62.332126
36530 189.27562 62.340723
36751 189.36608 62.342985
37107 189.344334 62.3476
37189 189.347924 62.34851
37210 189.252761 62.350806
37686 189.274474 62.36082
37765 189.277806 62.362997
37896 189.289141 62.367272
38061 189.285111 62.373999
38126 189.284502 62.377789
38142 189.340973 62.376998
38225 189.304558 62.382204
