ID ra dec
433 53.089717 -27.938524
835 53.159642 -27.931379
1523 53.14998 -27.919303
1924 53.104828 -27.913921
2383 53.211223 -27.9083
2707 53.164186 -27.903265
3075 53.159875 -27.902445
3099 53.212257 -27.903309
3236 53.109552 -27.901394
3258 53.079647 -27.901382
4125 53.087293 -27.894231
4210 53.130699 -27.888663
4321 53.202598 -27.893096
4554 53.220139 -27.890869
4560 53.099582 -27.890605
5030 53.162681 -27.887366
5063 53.134522 -27.887356
5269 53.098354 -27.885093
5652 53.099575 -27.882975
6098 53.104444 -27.88036
6106 53.072823 -27.880003
6185 53.18968 -27.880676
6209 53.1247 -27.881215
6632 53.227645 -27.879085
6791 53.067388 -27.878137
6983 53.277402 -27.877385
6994 53.166402 -27.876248
7118 53.072756 -27.876317
7238 53.071447 -27.875565
7503 53.080414 -27.872034
7556 53.119282 -27.873739
8032 53.116145 -27.871914
9041 53.15774 -27.867032
9278 53.045192 -27.866778
9500 53.25252 -27.865506
9704 53.285681 -27.864101
9832 53.248832 -27.864469
10044 53.284982 -27.863461
10099 53.058201 -27.86257
10436 53.168389 -27.86179
11195 53.13059 -27.859026
11428 53.184439 -27.857427
11937 53.162971 -27.855193
12134 53.030677 -27.853952
12143 53.117557 -27.854533
12385 53.025587 -27.853527
12792 53.284314 -27.852657
12869 53.202152 -27.850868
13020 53.061091 -27.851208
13023 53.052587 -27.851541
13153 53.06232 -27.851257
13174 53.061903 -27.851042
13369 53.137048 -27.85006
13628 53.076395 -27.848662
13635 53.292425 -27.848285
14118 53.260679 -27.84677
14374 53.219091 -27.845187
14622 53.100047 -27.84417
14813 53.150675 -27.843622
15682 53.145923 -27.839969
15735 53.144545 -27.839692
15744 53.029128 -27.839408
15748 53.272254 -27.838721
16336 53.184551 -27.83603
16592 53.109218 -27.8357
16603 53.150189 -27.834529
16737 53.047676 -27.834926
16769 53.127129 -27.834558
17023 53.034127 -27.833452
17033 53.046809 -27.833054
17259 53.198143 -27.832097
17800 53.18811 -27.827759
18420 53.171689 -27.825654
18669 53.097027 -27.823906
18766 53.186128 -27.823394
19484 53.035589 -27.819698
19711 53.184754 -27.81985
20403 53.131381 -27.81493
20786 53.216674 -27.814336
23342 53.225068 -27.801839
23421 53.13776 -27.802087
24036 53.138634 -27.79787
24148 53.186408 -27.798117
24182 53.108034 -27.79754
24645 53.06676 -27.797219
25585 53.230648 -27.792559
25641 53.149147 -27.79298
25997 53.051928 -27.791447
26139 53.12508 -27.790772
26263 53.028737 -27.789489
26272 53.150826 -27.790601
26915 53.165159 -27.785866
27253 53.018435 -27.784968
28319 53.173671 -27.78206
28582 53.034916 -27.780888
29152 53.074769 -27.777682
29257 53.147471 -27.777637
29407 53.054214 -27.777204
29652 53.044942 -27.774394
29900 53.052199 -27.77477
29928 53.154965 -27.768904
29955 53.04383 -27.774707
30144 53.128517 -27.772695
30150 53.033585 -27.773515
30290 53.045746 -27.773192
30394 53.103335 -27.771635
30530 53.046609 -27.772188
30928 53.071483 -27.769786
31397 53.141019 -27.766723
31613 53.109436 -27.764089
31618 53.048374 -27.765042
31843 53.021929 -27.764565
32783 53.089166 -27.760083
32799 53.130088 -27.759084
32843 53.046718 -27.759292
33163 53.126442 -27.756544
33912 53.214171 -27.753885
33949 53.109844 -27.75426
34003 53.174567 -27.753371
34134 53.124248 -27.752996
34334 53.22877 -27.751865
34491 53.229635 -27.751383
34519 53.228788 -27.751643
34567 53.224903 -27.750973
35640 53.197034 -27.74561
35774 53.158775 -27.742385
35843 53.060868 -27.744477
36095 53.16261 -27.739
36176 53.121006 -27.742284
36315 53.120052 -27.741805
38111 53.003407 -27.731698
38138 53.031457 -27.732402
38513 53.10733 -27.729728
38785 53.168249 -27.7273
38843 53.107039 -27.729749
39012 53.06424 -27.727621
39170 53.041826 -27.725868
39241 53.042327 -27.726209
39364 53.062821 -27.726461
39631 53.042169 -27.725928
39804 53.178423 -27.72464
39805 53.163237 -27.724724
39825 53.132667 -27.724832
40223 53.124956 -27.722957
40476 53.108262 -27.721924
40498 53.206685 -27.721329
40597 53.148451 -27.719472
40623 53.13048 -27.721152
40862 53.04802 -27.719743
40889 53.012912 -27.718098
41148 53.127925 -27.718885
41520 53.152726 -27.716251
41659 53.096114 -27.716302
42113 53.151174 -27.713724
42221 53.079234 -27.711869
42466 53.179757 -27.711677
42548 53.149467 -27.712366
42778 53.149594 -27.711374
42820 53.142135 -27.711249
42915 53.138677 -27.709999
43042 53.183026 -27.708994
43114 53.062406 -27.706915
43597 53.186943 -27.706451
43615 53.093057 -27.707368
43683 53.061975 -27.706482
43840 53.174717 -27.704072
44042 53.10457 -27.705421
44229 53.19065 -27.703834
44620 53.249645 -27.702048
44824 53.141158 -27.70109
45407 53.173458 -27.697625
45775 53.158558 -27.694968
45972 53.115984 -27.693568
46066 53.061039 -27.693501
46345 53.249276 -27.692747
46377 53.189081 -27.692411
46846 53.13743 -27.688071
46888 53.074622 -27.689638
47223 53.164676 -27.688179
47276 53.067319 -27.688723
47677 53.262013 -27.68608
47691 53.273156 -27.681599
47873 53.083694 -27.685201
48631 53.125876 -27.679112
49363 53.099078 -27.677162
49708 53.160153 -27.672104
