wavelength Flam
91.0 1.3812528449507862e-42
94.0 1.3503685353898199e-42
96.0 1.5489904143775524e-42
98.0 2.8004547827210224e-42
100.0 1.2098582439857638e-41
102.0 4.456290782339296e-42
104.0 8.843424510570818e-42
106.0 2.409196800132143e-41
108.0 2.9482616383708287e-41
110.0 4.077801354297468e-41
114.0 1.6118123397329877e-41
118.0 1.5965270536883648e-41
121.0 4.919630950506572e-41
125.0 5.574800318406338e-41
127.0 3.362859563421586e-41
128.0 4.703242574852966e-41
131.0 3.591262134161529e-41
132.0 5.430727327369551e-41
134.0 3.120201825615092e-41
137.0 3.778991562555293e-41
140.0 5.546870800119999e-41
143.0 4.5642111431746185e-41
147.0 2.840436166431592e-41
151.0 3.4435649258866853e-41
155.0 3.642801858906938e-41
159.0 4.5726958300726506e-41
162.0 3.802185998442754e-41
166.0 4.802640492037107e-41
170.0 4.488371102618996e-41
173.0 2.836361702775044e-41
177.0 3.3826135609283495e-41
180.0 4.408921180024482e-41
182.0 5.057584584452668e-41
186.0 3.9619033336227314e-41
191.0 4.86878860275104e-41
194.0 5.176703179006668e-41
198.0 6.154826451678678e-41
202.0 5.381238963334547e-41
205.0 5.33374927327504e-41
210.0 5.580379281363587e-41
216.0 5.243916302050646e-41
220.0 3.5366871981318637e-41
223.0 4.632272038682698e-41
227.0 5.835325435312879e-41
230.0 6.594059851434009e-41
234.0 1.4046399159585318e-40
240.0 2.1203714687362827e-40
246.0 2.1832061138607032e-40
252.0 3.1089789061078763e-40
257.0 2.370470859349838e-40
260.0 2.6210073721787195e-40
264.0 3.89787786871462e-40
269.0 3.342774740818864e-40
274.0 3.4470537393030865e-40
279.0 2.688693638216716e-40
284.0 3.175302145337018e-40
290.0 3.230521936222408e-40
296.0 2.732340721721099e-40
301.0 2.8101195623891832e-40
308.0 2.1168803990479195e-40
318.0 3.010394685172952e-40
328.0 3.3491896275110515e-40
338.0 2.6914768958862803e-40
348.0 2.3579137471909147e-40
