ids RF_v IRAC_mag
n14713 13.5668 20.66767488085778
n16758 24.451 19.9019316690328
n21156 44.4302 19.460011154211074
n21427 18.334 20.66066556626749
n23435 7.80588 21.27902296015861
n32566 19.0218 20.543730616752192
n34694 34.7958 19.70062178387252
n37686 30.1917 20.01829509368647
s35774 39.234 19.755521527428556
s38785 21.9953 20.16868118603555
s39012 14.1877 20.656914199378644
s39170 57.6759 19.167825966584278
s39241 33.9554 19.69621525550077
s39631 25.4945 20.228779128857717
s39804 23.29 20.16748205554607
s39805 8.97017 21.1504563586592
s40597 40.0772 19.66908380276515
s40862 22.1875 20.138733692136064
s41520 19.3638 20.53203291900677
s42221 16.3351 20.776360118558028
s44620 10.8097 20.994606816867787
s45972 29.8101 20.014584980668815
s46066 21.1781 20.347557745652765
s47677 7.99882 21.424339733169898
s48631 27.6961 19.79528138715504
