IDS lmass compactness Best_fit_Z Best_fit_t
n14713 10.56 0.15115782242597822 0.003 4.6
n16758 10.83 -0.05694388968535399 0.024 5.2
n21156 11.16 0.011287345856073553 0.011 2.6
n21427 10.73 0.214938612640452 0.029 4.6
n23435 10.27 0.5026528383109033 0.004 4.3
n32566 10.61 0.8262320589269175 0.004 4.2
n34694 10.94 0.36936680172706515 0.024 2.3
n37686 10.89 0.005595036180393583 0.007 5.0
s35774 10.86 0.5625647221690279 0.023 1.8
s38785 10.88 0.27861808469037097 0.005 4.7
s39012 11.09 -0.10425346488759196 0.006 3.9
s39170 11.09 0.10506032505058698 0.025 4.8
s39241 10.87 0.10017773864084324 0.019 5.0
s39631 10.69 0.23301217658776638 0.012 4.8
s39804 10.91 -0.34989982740858994 0.024 4.6
s39805 10.62 0.30158910775627973 0.03 3.9
s40597 11.01 -0.09105721420035541 0.004 4.4
s40862 10.92 0.15282714923114268 0.008 4.9
s41520 10.92 -0.18889441995783218 0.015 1.4
s42221 10.51 0.7157062333464581 0.003 4.4
s44620 10.5 0.6261254461496822 0.019 5.2
s45972 10.87 0.6749054845582425 0.003 4.9
s46066 10.85 0.009223082146595464 0.029 5.0
s47677 10.09 0.5195600662764386 0.013 3.9
s48631 11.01 0.3192207413470401 0.015 3.3
