ids ra dec
n14713 189.236333 62.214608
n15616 189.238403 62.218809
n16758 189.162357 62.22484
n17436 189.171078 62.227726
n19442 189.123036 62.23746
n21156 189.239409 62.247548
n21427 189.368121 62.247344
n23435 189.338306 62.256571
n32562 189.16889 62.309192
n32566 189.16128 62.307577
n33780 189.202025 62.317153
n34694 189.14784 62.323647
n35469 189.2206 62.329662
n37686 189.274474 62.36082
n38126 189.284502 62.377789
s23421 53.13776 -27.802087
s26915 53.165159 -27.785866
s35774 53.158775 -27.742385
s36095 53.16261 -27.739
s38785 53.168249 -27.7273
s39012 53.06424 -27.727621
s39170 53.041826 -27.725868
s39241 53.042327 -27.726209
s39364 53.062821 -27.726461
s39631 53.042169 -27.725928
s39804 53.178423 -27.72464
s39805 53.163237 -27.724724
s39825 53.132667 -27.724832
s40597 53.148451 -27.719472
s40623 53.13048 -27.721152
s40862 53.04802 -27.719743
s41520 53.152726 -27.716251
s42113 53.151174 -27.713724
s42221 53.079234 -27.711869
s42778 53.149594 -27.711374
s43114 53.062406 -27.706915
s43683 53.061975 -27.706482
s44620 53.249645 -27.702048
s44824 53.141158 -27.70109
s45972 53.115984 -27.693568
s46066 53.061039 -27.693501
s46846 53.13743 -27.688071
s47677 53.262013 -27.68608
s47691 53.273156 -27.681599
s48631 53.125876 -27.679112
