ids file_list lmass redshift radius sigma compactness
n32562 spec_stacks_jan24/n32562_stack.npy 10.9 1.134 0.47768297632361484 62.53674757620691 0.3382275999819488
n32566 spec_stacks_jan24/n32566_stack.npy 10.61 1.148 0.9186743640385259 61.264436555143014 0.8262320589269175
n34694 spec_stacks_jan24/n34694_stack.npy 10.94 1.146 0.5463044404959565 62.94785582446557 0.36936680172706515
s26915 spec_stacks_jan24/s26915_stack.npy 10.86 1.308 0.4759556376025849 65.47566890679424 0.37405853286580254
s35774 spec_stacks_jan24/s35774_stack.npy 10.86 1.222 0.7413107967900103 77.67655611490261 0.5625647221690279
s38785 spec_stacks_jan24/s38785_stack.npy 10.88 1.177 0.4005457175467969 65.6706686108394 0.27861808469037097
s39631 spec_stacks_jan24/s39631_stack.npy 10.69 1.059 0.27101225484906477 124.68619870748644 0.23301217658776638
s40862 spec_stacks_jan24/s40862_stack.npy 10.92 1.32 0.3146904096283203 63.842797803273015 0.15282714923114268
s42221 spec_stacks_jan24/s42221_stack.npy 10.51 1.015 0.6222243617272728 67.21579760459245 0.7157062333464581
s45972 spec_stacks_jan24/s45972_stack.npy 10.87 1.04 1.00612680714891 62.61079037162832 0.6749054845582425
s48631 spec_stacks_jan24/s48631_stack.npy 11.01 1.151 0.544433564107995 53.89998742358656 0.3192207413470401
