ids file_list lmass redshift radius sigma compact
n14713 spec_stacks_jan24/n14713_stack.npy 10.56 1.224 0.17720985818590565 77.48164781716011 0.15115782242597822
n16758 spec_stacks_jan24/n16758_stack.npy 10.83 1.011 0.17608017977635532 84.47024476294271 -0.05694388968535399
n21156 spec_stacks_jan24/n21156_stack.npy 11.16 1.252 0.33667158079433374 117.51719984800908 0.011287345856073553
n21427 spec_stacks_jan24/n21427_stack.npy 10.73 1.242 0.26936735698761494 116.86682935724193 0.214938612640452
n23435 spec_stacks_jan24/n23435_stack.npy 10.27 1.129 0.25288604433590633 46.78148041688725 0.5026528383109033
n32566 spec_stacks_jan24/n32566_stack.npy 10.61 1.148 0.9186743640385259 61.264436555143014 0.8262320589269175
n34694 spec_stacks_jan24/n34694_stack.npy 10.94 1.146 0.5463044404959565 62.94785582446557 0.36936680172706515
n37686 spec_stacks_jan24/n37686_stack.npy 10.89 1.255 0.21496721382329168 129.9460008847094 0.005595036180393583
s35774 spec_stacks_jan24/s35774_stack.npy 10.86 1.222 0.7413107967900103 77.67655611490261 0.5625647221690279
s38785 spec_stacks_jan24/s38785_stack.npy 10.88 1.177 0.4005457175467969 65.6706686108394 0.27861808469037097
s39012 spec_stacks_jan24/s39012_stack.npy 11.09 1.612 0.2262255723203157 139.2742932211018 -0.10425346488759196
s39170 spec_stacks_jan24/s39170_stack.npy 11.09 1.023 0.38768897029384264 128.09986771248072 0.10506032505058698
s39241 spec_stacks_jan24/s39241_stack.npy 10.87 1.019 0.26915678030129575 99.89373528331285 0.10017773864084324
s39631 spec_stacks_jan24/s39631_stack.npy 10.69 1.059 0.27101225484906477 124.68619870748644 0.23301217658776638
s39804 spec_stacks_jan24/s39804_stack.npy 10.91 1.334 0.09719877591429225 140.25632204969685 -0.34989982740858994
s39805 spec_stacks_jan24/s39805_stack.npy 10.62 1.245 0.27532661375174033 74.87952044472998 0.30158910775627973
s40597 spec_stacks_jan24/s40597_stack.npy 11.01 1.221 0.20961925469699008 142.87403672524695 -0.09105721420035541
s40862 spec_stacks_jan24/s40862_stack.npy 10.92 1.32 0.3146904096283203 63.842797803273015 0.15282714923114268
s41520 spec_stacks_jan24/s41520_stack.npy 10.92 1.606 0.1415528966769158 124.6342326462416 -0.18889441995783218
s42221 spec_stacks_jan24/s42221_stack.npy 10.51 1.015 0.6222243617272728 67.21579760459245 0.7157062333464581
s44620 spec_stacks_jan24/s44620_stack.npy 10.5 1.079 0.49129721707652774 74.07375978481595 0.6261254461496822
s45972 spec_stacks_jan24/s45972_stack.npy 10.87 1.04 1.00612680714891 62.61079037162832 0.6749054845582425
s46066 spec_stacks_jan24/s46066_stack.npy 10.85 1.344 0.20157945748367118 137.1997615417557 0.009223082146595464
s47677 spec_stacks_jan24/s47677_stack.npy 10.09 1.115 0.19718655311200103 69.34108768971214 0.5195600662764386
s48631 spec_stacks_jan24/s48631_stack.npy 11.01 1.151 0.544433564107995 53.89998742358656 0.3192207413470401
