Filename NUM_of_photo_points
spec_stacks/35774_stack.dat 39.0
spec_stacks/38513_stack.dat 38.0
spec_stacks/38785_stack.dat 39.0
spec_stacks/39804_stack.dat 39.0
spec_stacks/39805_stack.dat 39.0
spec_stacks/40223_stack.dat 38.0
spec_stacks/40476_stack.dat 39.0
spec_stacks/40597_stack.dat 38.0
spec_stacks/40623_stack.dat 38.0
spec_stacks/41148_stack.dat 38.0
spec_stacks/41520_stack.dat 38.0
spec_stacks/42113_stack.dat 38.0
spec_stacks/43615_stack.dat 39.0
spec_stacks/44042_stack.dat 39.0
spec_stacks/44620_stack.dat 29.0
spec_stacks/44824_stack.dat 38.0
spec_stacks/45972_stack.dat 39.0
spec_stacks/46846_stack.dat 38.0
spec_stacks/47691_stack.dat 29.0
spec_stacks/48631_stack.dat 34.0
