ID bestfit_t low_err high_err rshift
n17070 2.11 1.6132264529058118 2.8036072144288577 1.18
n21156 2.26 1.6352705410821644 2.3847695390781567 1.252
n32562 2.11 1.9879759519038076 2.506012024048096 1.138
n34694 2.64 2.2304609218436875 3.024048096192385 1.147
n37686 2.56 2.3296593186372747 4.280561122244489 1.256
s26915 1.52 1.2384769539078158 1.9879759519038076 1.31
s35774 1.52 1.1503006012024048 1.6022044088176353 1.215
s39170 2.48 2.3186372745490984 2.9138276553106213 1.022
s39364 0.5 0.6212424849699398 1.062124248496994 1.609
s40597 1.72 1.6462925851703407 2.1643286573146296 1.22
s42113 1.37 1.1282565130260522 1.5360721442885772 1.618
s46066 3.35 2.5831663326653307 4.919839679358717 1.337
s46846 3.35 2.6382765531062127 4.798597194388778 1.034
