ID bestfit_Z low_err high_err lmass
n17070 0.0096 0.0072184368737474944 0.015298597194388776 10.92
n21156 0.0068 0.006601202404809619 0.012829659318637273 11.16
n32562 0.002 0.0021122244488977955 0.003963927855711423 10.9
n34694 0.0096 0.006657314629258517 0.013727454909819638 10.94
n37686 0.0049 0.00402004008016032 0.012549098196392784 10.89
s26915 0.0085 0.008284569138276552 0.018665330661322643 10.86
s35774 0.015 0.013503006012024046 0.025735470941883762 10.86
s39170 0.024 0.020404809619238476 0.02786773547094188 11.09
s39364 0.0096 0.00862124248496994 0.014232464929859717 11.12
s40597 0.0106 0.006488977955911824 0.011931863727454908 11.01
s42113 0.0132 0.010977955911823647 0.017711422845691382 11.18
s46066 0.024 0.02191983967935872 0.028877755511022042 10.85
s46846 0.002 0.0023366733466933867 0.004076152304609218 11.21
