ids specfile lmass redshift S/N
n14713 spec_stacks_nov29/n14713_stack.dat 10.56 1.22 2.185678896777271
n15616 spec_stacks_nov29/n15616_stack.dat 10.25 1.116 2.3461748882005163e-05
n16758 spec_stacks_nov29/n16758_stack.dat 10.83 1.011 5.661475155258589
n17070 spec_stacks_nov29/n17070_stack.dat 10.92 1.218 4.265173708436895
n19442 spec_stacks_nov29/n19442_stack.dat 10.1 1.026 1.1301596381281416
n21156 spec_stacks_nov29/n21156_stack.dat 11.16 1.255 11.495089533042018
n21427 spec_stacks_nov29/n21427_stack.dat 10.73 1.473 3.1363414938765684e-05
n23435 spec_stacks_nov29/n23435_stack.dat 10.27 1.126 2.6423619291539757
n32562 spec_stacks_nov29/n32562_stack.dat 10.9 1.009 13.824100735790578
n32566 spec_stacks_nov29/n32566_stack.dat 10.61 1.143 5.186362210665153
n34694 spec_stacks_nov29/n34694_stack.dat 10.94 1.145 7.687460363815134
n37686 spec_stacks_nov29/n37686_stack.dat 10.89 1.253 7.577897054394284
s23421 spec_stacks_nov29/s23421_stack.dat 10.58 1.1908 3.6464859264633924
s25641 spec_stacks_nov29/s25641_stack.dat 10.46 1.33 2.9535874586274002
s26915 spec_stacks_nov29/s26915_stack.dat 10.86 1.304 4.9823208714244736
s35774 spec_stacks_nov29/s35774_stack.dat 10.86 1.209 9.89232397483353
s38785 spec_stacks_nov29/s38785_stack.dat 10.88 1.178 5.837287895787091
s39012 spec_stacks_nov29/s39012_stack.dat 11.09 1.609 1.6412628061643009
s39170 spec_stacks_nov29/s39170_stack.dat 11.09 1.022 15.354642770772582
s39241 spec_stacks_nov29/s39241_stack.dat 10.87 1.016 9.742652686968915
s39364 spec_stacks_nov29/s39364_stack.dat 11.12 1.605 3.8546926267728687
s39631 spec_stacks_nov29/s39631_stack.dat 10.69 1.0834 5.622039389796998
s39804 spec_stacks_nov29/s39804_stack.dat 10.91 1.334 3.627637196171567
s39805 spec_stacks_nov29/s39805_stack.dat 10.62 1.236 2.939059117487332
s40597 spec_stacks_nov29/s40597_stack.dat 11.01 1.217 12.81894775091044
s40623 spec_stacks_nov29/s40623_stack.dat 10.76 1.63 1.1246060620220398e-05
s40862 spec_stacks_nov29/s40862_stack.dat 10.92 1.322 3.7882178045361337
s41520 spec_stacks_nov29/s41520_stack.dat 10.92 1.602 2.540410980287452
s42113 spec_stacks_nov29/s42113_stack.dat 11.18 1.611 5.328276874886123
s42221 spec_stacks_nov29/s42221_stack.dat 10.51 1.016 0.004259576744916332
s42778 spec_stacks_nov29/s42778_stack.dat 10.96 1.609 0.0010872027475845372
s44620 spec_stacks_nov29/s44620_stack.dat 10.5 1.22 3.851056513889209
s44824 spec_stacks_nov29/s44824_stack.dat 10.97 1.6 2.9973858601164047
s45972 spec_stacks_nov29/s45972_stack.dat 10.87 1.035 9.138646370930386
s46066 spec_stacks_nov29/s46066_stack.dat 10.85 1.329 7.320630941207044e-05
s46846 spec_stacks_nov29/s46846_stack.dat 11.21 1.033 13.068089708863987
s47677 spec_stacks_nov29/s47677_stack.dat 10.09 1.11 2.806972759180295
s47691 spec_stacks_nov29/s47691_stack.dat 10.94 1.03 0.0006128379971548867
