File zspec_max zspec_chi zspec zspec_el zspec_eh zpspec_max zpspec_chi zpspec zpspec_el zpspec_eh
spec_stacks/n16758_stack.dat 0.99 3787.8005 0.99 0.986 0.9948 0.99 3787.8005 0.99 0.986 0.9948
spec_stacks/n17436_stack.dat 0.9 315.5839 0.9091 0.9022 0.9242 0.9 315.5839 0.9053 0.9022 0.9154
spec_stacks/n19442_stack.dat 0.98 375.0241 0.9809 0.9683 0.9926 0.98 375.0241 0.9868 0.9727 1.008
spec_stacks/s35774_stack.dat 1.2 1298.4655 1.2 1.1976 1.2064 1.2 1298.4655 1.2 1.1976 1.2064
spec_stacks/s36095_stack.dat 0.94 554.3286 0.9382 0.9331 0.9463 1.88 700.8486 1.8811 1.8766 1.8854
spec_stacks/s38513_stack.dat 1.31 889.6963 1.311 1.3056 1.3166 1.31 889.6963 1.3085 1.3034 1.3166
spec_stacks/s38785_stack.dat 1.18 727.9784 1.1799 1.1756 1.1844 1.18 727.9784 1.1799 1.1756 1.1844
spec_stacks/s39804_stack.dat 1.33 517.802 1.3301 1.3277 1.3365 1.33 517.802 1.3302 1.3277 1.3365
spec_stacks/s39805_stack.dat 1.12 554.9437 1.1057 1.105 1.1226 1.12 554.9437 1.1195 1.116 1.1248
spec_stacks/s39825_stack.dat 0.93 818.5152 0.9255 0.9176 0.9353 0.93 818.5152 0.9285 0.9242 0.9353
spec_stacks/s40223_stack.dat 1.58 470.0648 1.5833 1.579 1.5922 1.58 470.0648 1.5849 1.579 1.5922
spec_stacks/s40476_stack.dat 1.21 698.9097 1.2091 1.2064 1.2152 1.21 698.9097 1.2082 1.2042 1.2152
spec_stacks/s40597_stack.dat 1.21 853.7769 1.21 1.2064 1.2152 1.21 853.7769 1.21 1.2064 1.2152
spec_stacks/s40623_stack.dat 1.42 564.0095 1.4164 1.4092 1.4246 1.42 564.0095 1.4171 1.4114 1.4246
spec_stacks/s41148_stack.dat 1.75 459.5087 1.7497 1.7465 1.7553 1.75 459.5087 1.7498 1.7465 1.7553
spec_stacks/s41520_stack.dat 1.6 527.0736 1.6 1.5966 1.6054 1.6 527.0736 1.6 1.5966 1.6054
spec_stacks/s42113_stack.dat 1.61 594.9067 1.61 1.6076 1.6164 1.61 594.9067 1.61 1.6076 1.6164
spec_stacks/s42778_stack.dat 1.61 373.0999 1.609 1.601 1.6142 1.61 373.0999 1.6508 1.6076 1.6451
spec_stacks/s43615_stack.dat 1.02 603.3737 1.02 1.0168 1.0257 1.02 603.3737 1.02 1.0168 1.0257
spec_stacks/s44042_stack.dat 1.6 563.58 1.6 1.5966 1.6054 1.6 563.58 1.6 1.5966 1.6054
spec_stacks/s44620_stack.dat 1.08 573.8814 1.08 1.0764 1.0852 1.08 573.8814 1.08 1.0764 1.0852
spec_stacks/s44824_stack.dat 1.6 828.6604 1.5998 1.5966 1.6054 1.6 828.6604 1.5998 1.5966 1.6054
spec_stacks/s45972_stack.dat 1.03 972.6034 1.03 1.0257 1.0345 1.03 972.6034 1.03 1.0257 1.0345
spec_stacks/s46846_stack.dat 1.03 2555.0182 1.03 1.0257 1.0345 1.03 2555.0182 1.03 1.0257 1.0345
spec_stacks/s47677_stack.dat 1.11 479.7581 1.1073 1.1028 1.1138 1.11 479.7581 1.1074 1.1028 1.1138
spec_stacks/s47691_stack.dat 1.06 1246.5179 1.0581 1.0543 1.0653 1.06 1246.5179 1.0615 1.0565 1.0697
spec_stacks/s48631_stack.dat 0.9 2191.1472 0.9 0.9022 0.9066 1.0 2246.5622 0.9996 0.9926 1.008
