col0 col1
91.0 2.4913414739232567e-16
94.0 3.8319898001091555e-16
96.0 5.082288547005244e-16
98.0 6.868868824456486e-16
100.0 9.046552392959103e-16
102.0 1.1639110684306275e-15
104.0 1.3689739101060003e-15
105.99999999999999 1.6424988539041996e-15
108.00000000000001 2.0144901834639664e-15
109.99999999999999 2.775369230554056e-15
114.0 3.717676281347065e-15
118.0 4.714245928490239e-15
121.0 1.6854959083526384e-14
125.0 1.9915328850774452e-14
127.0 2.1026117578188505e-14
128.0 2.199524598520549e-14
131.0 2.3488562483099926e-14
132.0 2.7492582165778015e-14
134.0 2.8548762362723764e-14
137.0 3.5026509338668804e-14
140.0 3.7022446881531555e-14
143.0 1.0240205621017324e-13
147.0 2.4934276087526476e-13
151.00000000000003 2.5665104979020997e-13
155.0 2.675857169400249e-13
159.0 2.799011045661897e-13
162.0 2.879210296330824e-13
166.0 3.0359341524345953e-13
170.0 3.134325998250842e-13
173.0 3.227965363290683e-13
177.0 3.3268620469313845e-13
180.0 3.400813113727419e-13
182.0 3.4584197733414687e-13
186.0 3.558164404204124e-13
191.0 3.68309658774449e-13
194.0 3.7866968024740465e-13
198.0 3.868606738525309e-13
202.0 3.9817251619575977e-13
205.0 4.0568110832475187e-13
210.0 3.986888370566745e-13
216.00000000000003 4.3031122361885997e-13
219.99999999999997 4.415699977062642e-13
223.0 4.427511245687515e-13
227.0 4.557506552174669e-13
230.0 6.82257494588534e-13
234.0 1.1522540674455362e-12
240.0 1.419831713996925e-12
246.0 1.3020207214110198e-12
251.99999999999997 1.353257025962712e-12
257.0 1.0969852806852399e-12
260.0 1.2730523455016113e-12
264.0 1.3238625957715515e-12
269.0 1.2960073750428792e-12
274.0 1.264311894991027e-12
279.0 1.2341879753365012e-12
284.0 1.2126064570744505e-12
290.0 1.12946480520201e-12
296.0 1.1161111357662167e-12
301.0 1.0732491459223891e-12
308.0 1.0634378472257224e-12
318.0 1.0521967877338607e-12
328.0 1.0119050270597319e-12
338.0 9.647025097407524e-13
348.0 9.179033697240117e-13
357.0 8.884588443205482e-13
366.0 8.718858961011842e-13
375.0 8.35908144133182e-13
385.0 7.700962578990017e-13
395.0 7.711053748504109e-13
