 (U-V) (V-J) age gids lmass z_grism
49 1.98559484056 1.43912328187 5.23947895792 n16758 10.79 1.014
50 1.85762677416 1.15579198028 2.38476953908 n17070 10.93 1.192
58 1.87068764442 1.3996381622 2.68236472946 n19442 10.14 1.101
61 1.86056855969 1.23187015492 2.10921843687 n21156 10.98 1.251
62 1.76326282824 1.07055969947 2.3627254509 n21427 10.62 1.514
69 1.82104296207 1.26652795883 3.37675350701 n23435 10.27 1.134
86 1.74277168175 1.07037480958 2.02104208417 n32566 10.58 1.15
96 1.78720171543 1.22426971443 2.80360721443 n34694 10.88 1.145
107 1.85272789778 1.08813668829 3.34368737475 n37686 10.91 1.258
212 1.80639806049 1.11144983861 3.65230460922 s35774 10.86 1.223
217 1.80510972134 1.27554603608 2.31863727455 s38785 10.82 1.175
219 2.13353698678 1.38796113744 2.14228456914 s39012 11.1 1.632
220 2.03651619511 1.22414336673 2.97995991984 s39170 11.09 1.022
221 1.929587685 1.20624305507 4.2254509018 s39241 10.87 1.019
223 1.83873293492 1.16510044556 4.02705410822 s39631 10.67 1.053
224 1.93929104353 1.2182163909 3.33266533066 s39804 10.93 1.333
225 2.02342631052 1.28677070011 2.26352705411 s39805 10.46 1.242
227 1.78937254919 1.16290358925 2.15330661323 s40223 10.66 1.595
228 1.84437533098 1.03193583367 2.72645290581 s40476 10.6 1.212
230 1.97364292057 1.13878366801 2.67134268537 s40597 10.99 1.221
231 1.95842348346 1.24162577106 3.23346693387 s40623 10.7 1.41
232 1.85880257894 1.31857113187 2.74849699399 s40862 10.94 1.328
234 2.05310661107 1.24071527333 1.67935871743 s41148 11.11 1.758
235 1.88173203943 1.17744764762 1.42585170341 s41520 10.93 1.603
236 1.60728413261 0.987748707924 1.9879759519 s41659 10.29 1.62
246 2.02582326851 1.36833164423 4.84268537074 s43615 10.68 1.016
248 1.85876156147 1.1221495483 2.40681362725 s44042 11.01 1.611
251 1.90716191214 1.26364241976 1.94388777555 s44620 10.51 1.337
258 1.87554467799 1.16935100627 4.02705410822 s45972 10.86 1.038
259 2.0209129204 1.17528999369 3.66332665331 s46066 10.95 1.327
260 1.79225974819 1.08284086313 2.96893787575 s46345 10.16 1.369
267 1.7670345062 1.1581142611 3.65230460922 s47677 10.17 1.112
