gid,ra,dec,x_pos,y_pos
30187,189.152096,62.291714,1893.81983498284,32.0
30244,189.158391,62.292596,1718.1432440613007,84.72089265009345
30296,189.158654,62.296587,1710.5474722449926,324.1730253802616
30583,189.164134,62.29451,1557.8141721030934,199.3941790121553
30588,189.156841,62.296239,1761.1418767910673,303.3484020574251
30600,189.16478,62.295151,1539.7556843084312,237.83632784647307
30622,189.159467,62.29463,1687.9953123561118,206.72860512948319
30751,189.184176,62.294827,998.7171785498176,217.94365219562133
30755,189.157248,62.29506,1749.8669917511652,232.59582043007322
30811,189.175842,62.295435,1231.1670666000355,254.59830287182194
30898,189.153107,62.296589,1865.2736196679125,324.46694198221303
30974,189.162996,62.296333,1589.4485206932895,308.8061364313471
31050,189.150758,62.297051,1930.762551902637,352.2645966924829
31056,189.163124,62.29698,1585.8388296298544,347.622537050358
31088,189.180731,62.296932,1094.723153274601,344.31228507421656
31143,189.149572,62.297416,1963.8172175836316,374.2047097438608
31173,189.180817,62.297742,1092.2884417747537,392.9105432879023
31234,189.152334,62.297733,1886.7545667097638,393.1322544762752
31249,189.158499,62.29805,1714.775929280726,411.9577424788986
31273,189.19269,62.297884,761.1146012764348,401.21629427700464
31290,189.133264,62.299867,2418.478318021229,521.8776834941127
31372,189.134065,62.299329,2396.18505323534,489.56489670234805
31400,189.172182,62.298807,1333.0855295024649,457.0045697802798
31426,189.131669,62.299746,2462.974763924585,514.6837827164527
31443,189.162627,62.298922,1599.583051161775,464.15667904676593
31481,189.146344,62.299054,2053.7306710979956,472.5969683834537
31575,189.169956,62.300388,1395.0863590963945,551.9198467354145
31624,189.193357,62.301093,742.4054461133219,593.7462189562702
31690,189.177027,62.301085,1197.8416495939528,593.5718693209528
31743,189.178835,62.300767,1147.4320611488456,574.4523561583592
31774,189.182665,62.30108,1040.6007249570612,593.1533517493644
31789,189.133194,62.303353,2420.1224014522304,731.040608375295
31790,189.186493,62.301521,933.822390069734,619.5407135942187
31804,189.14231,62.301262,2166.06797755988,605.2235690174548
31806,189.179374,62.30116,1132.3815141634768,598.0208717187597
31825,189.177146,62.301596,1194.4984216357152,624.2292499265786
31828,189.134014,62.301195,2397.4439118853643,601.5269965764273
31832,189.158747,62.301455,1707.6381587457363,616.2503662996987
31857,189.166707,62.302928,1485.5557876089642,704.404373086425
31887,189.156298,62.301959,1775.9049766297776,646.5654253953289
31900,189.169783,62.301931,1399.8272294838807,644.5042916017064
31929,189.140396,62.301821,2219.4024972324605,638.8355673711612
31978,189.172315,62.302409,1329.1880022524947,673.1214893328233
31984,189.156684,62.302144,1765.1276022028069,657.6534326030778
31996,189.162752,62.305855,1595.6734325443085,880.1334044487376
32003,189.146514,62.3025,2048.7269431149034,679.3510281782656
32023,189.143782,62.302806,2124.893465577139,697.8093174934838
32095,189.120921,62.302715,2762.4482665607757,693.2977914093262
32122,189.188211,62.304484,885.7979262820172,797.2903214272555
32135,189.201448,62.304114,516.6752794994809,774.8975362373349
32146,189.147899,62.309501,2009.578088672899,1099.3626945396354
32157,189.124955,62.304965,2649.731929575144,828.1140828348798
32162,189.177677,62.305776,1179.4920072975838,875.0177483460611
32175,189.135163,62.304903,2365.0778496187995,823.9605014269946
32244,189.142188,62.304367,2169.2217865125112,791.5281872305895
32246,189.155983,62.304113,1784.5449328774484,775.8153439807083
32266,189.152692,62.304478,1876.2944258561001,797.8207108152055
32304,189.145808,62.305162,2068.211736152127,839.0961984146543
32305,189.14019,62.304616,2224.918559296597,806.5434759325399
32355,189.121246,62.304514,2753.2056656665063,801.2227393455469
32394,189.139808,62.305716,2235.4805750406176,872.5580960021489
32412,189.165144,62.305312,1529.004210224044,847.4867133491316
32436,189.156752,62.30558,1763.0023502282456,863.811459980303
32459,189.171857,62.307956,1341.6690642933281,1005.9529393272605
32466,189.169737,62.305541,1400.9131300520294,861.1056305739439
32478,189.145089,62.30573,2088.2176163215536,873.201988151859
32497,189.17013,62.306768,1389.8876654167307,934.715757335307
32538,189.160593,62.307088,1655.7996384971757,954.175751814284
32562,189.16889,62.309192,1424.3299739761187,1080.1874825569867
32566,189.16128,62.307577,1636.6128445030772,983.4957392451306
32589,189.167317,62.306266,1468.3545957656843,904.6683377960253
32616,189.156782,62.308398,1761.9781942359823,1032.8906629871599
32651,189.1203,62.306369,2779.3999375996136,912.5667229276332
32673,189.168079,62.306789,1447.0770969089717,936.0283605865407
32675,189.162092,62.30824,1613.930564437671,1023.2523535762375
32708,189.170257,62.310001,1386.1715124563816,1128.6927519329256
32712,189.141102,62.306933,2199.2983948892015,945.5289712700942
32744,189.200206,62.307729,551.2153986466765,991.812653993642
32799,189.199451,62.30803,572.2592066065299,1009.8820428243453
32832,189.127962,62.308314,2565.566593944359,1028.9217638728478
32846,189.166368,62.309262,1494.6443645466006,1084.4537682709342
32863,189.152983,62.308438,1867.9019312629407,1035.4113758593521
32904,189.149532,62.309262,1964.064756751648,1084.966457600629
32914,189.183117,62.309226,1027.651167217593,1081.9049190389524
32932,189.191744,62.309112,787.1172103104527,1074.9117910294062
32933,189.156358,62.309106,1773.7530674099362,1075.3838630998416
32951,189.151205,62.308637,1917.4631053693593,1047.4100163494259
32956,189.190247,62.309788,828.8326567335444,1115.4961103856149
32957,189.170091,62.30911,1390.848127289737,1075.2368769689165
32965,189.206361,62.309197,379.56297471619655,1079.8255617154246
32992,189.202703,62.309744,481.5422292701769,1112.683573207376
33000,189.12567,62.309082,2629.400734779667,1075.1023281922244
33008,189.18681,62.310538,924.6321785054679,1160.5555408928958
33101,189.180658,62.310241,1096.1678453228778,1142.854506499134
33156,189.217975,62.310158,55.73182687462395,1137.4033001636853
33157,189.193286,62.310188,744.0877992799487,1139.447880005373
33169,189.205232,62.313468,410.9491956610691,1336.0970154962379
33240,189.215365,62.311551,128.48443861834312,1220.9968555221203
33249,189.207722,62.311096,341.57878252560295,1193.7530570938761
33278,189.172697,62.311096,1318.0844903770012,1194.332745152191
33301,189.157501,62.31155,1741.7227718607483,1221.9886903821498
33305,189.157243,62.312457,1748.8557742263474,1276.4166653662487
33324,189.200738,62.311933,536.2728225740138,1244.0465238393663
33345,189.16222,62.312071,1610.125828321441,1253.1089129838256
33366,189.168432,62.312106,1436.937406791114,1255.0395027975392
33388,189.149874,62.312315,1954.3063500414046,1268.134983990869
33397,189.17547,62.314347,1240.6124453561315,1389.3278224382175
33398,189.180711,62.312026,1094.610902769342,1249.9535409001292
33406,189.214824,62.312574,143.55434694261385,1282.380096284489
33430,189.183288,62.312415,1022.7493839764247,1273.2418044993901
33438,189.182878,62.312734,1034.1662626252746,1292.389873639715
33459,189.133777,62.312909,2403.024179976577,1304.3769919233346
33460,189.18007,62.312778,1112.4477562894808,1295.0869182463448
33465,189.204551,62.312902,429.94677361079994,1302.143928907135
33471,189.176469,62.312612,1212.846936065338,1285.2050278286097
33495,189.214175,62.312728,161.64567922585593,1291.6240585155138
33496,189.214589,62.313231,150.09734108521116,1321.801562958808
33515,189.209033,62.313727,304.98001788097645,1351.6018473134845
33548,189.210406,62.313253,266.7117821769971,1323.1506238424408
33549,189.210627,62.313485,260.54682011154,1337.0689204948103
33559,189.145222,62.313611,2083.89981883807,1346.057554612129
33567,189.143207,62.313418,2140.089083011986,1334.5508234326044
33568,189.189888,62.314058,838.6888407960832,1371.7024098172442
33571,189.197207,62.31418,634.6498349560952,1378.9118205257255
33579,189.189438,62.313689,851.2471157214823,1349.5699321754037
33580,189.115499,62.313317,2912.5456354741345,1329.6758942482575
33631,189.141491,62.313902,2187.888804170154,1363.6546333564474
33645,189.110466,62.314693,3052.705822092028,1412.4866829714083
33646,189.143394,62.313866,2134.84049898374,1361.4239730783884
33671,189.112187,62.313807,3004.8252767354916,1359.2396918163104
33673,189.196043,62.31421,667.0982131387973,1380.727869305847
33692,189.177154,62.314646,1193.6529227177125,1407.2298938265048
33707,189.213513,62.315507,180.06249801535705,1458.368526639386
33709,189.167512,62.328075,1461.6820894472658,2213.204988958134
33715,189.205991,62.315426,389.74869416130423,1453.5696683106162
33722,189.171043,62.315358,1363.9710172982213,1450.0934999612364
33724,189.189152,62.316946,859.1010568491583,1544.9950633523167
33735,189.167992,62.314952,1449.0444075258747,1425.8111591736779
33749,189.210208,62.31491,272.20340326152655,1422.572336086656
33757,189.136414,62.315355,2329.2994251799046,1451.030848477758
33761,189.194893,62.315188,699.1266145755671,1439.424381822373
33764,189.166417,62.315211,1492.9352368688214,1441.392854032165
33775,189.188648,62.315319,873.2102363856502,1447.383542170537
33777,189.121233,62.314978,2752.526891560201,1429.0635605512507
33780,189.202025,62.317153,500.2632898240063,1557.231887814909
33799,189.150031,62.314983,1949.7350288747202,1428.209819845908
33807,189.180839,62.315426,1090.8917971486553,1453.951172146495
33814,189.116114,62.315363,2895.1872510056874,1452.406056992957
33825,189.185427,62.315435,962.9952687082532,1454.4012583761905
33833,189.199915,62.315345,559.1268681114925,1448.7768531908077
33849,189.11022,62.314983,3059.5317206280306,1429.8992251786094
33859,189.108157,62.315121,3117.0257989154434,1438.2853818458789
33872,189.178312,62.315687,1161.32287518464,1469.6645905242985
33875,189.190428,62.315809,823.5730173039301,1476.7536134659513
33883,189.106277,62.315477,3169.3932571865807,1459.7437222861372
33896,189.163982,62.317202,1560.695090399895,1560.919540938612
33935,189.204875,62.31588,420.84858542174516,1480.820859868847
33961,189.191181,62.316554,802.5566313722393,1521.4414128954595
33966,189.177388,62.316199,1187.0559850339796,1500.4048447517398
33968,189.135923,62.316283,2342.906969481157,1506.7304545972038
33985,189.163497,62.316453,1574.259465421137,1515.9930392530277
33995,189.156513,62.316367,1768.9461662208287,1511.03948960472
33998,189.111463,62.317234,3024.6366899697186,1564.8962106653962
34023,189.212401,62.317224,211.0349841110601,1561.3961980239983
34044,189.107783,62.316383,3127.3102961343775,1514.024849448626
34077,189.21093,62.317701,252.03065973513185,1590.026990976261
34084,189.150362,62.318131,1940.2795694334327,1617.0788481757245
34109,189.167379,62.317393,1465.9942794282906,1572.287444425674
34110,189.132461,62.317576,2439.29649561121,1584.4513645558109
34113,189.149248,62.317372,1971.3867223524776,1571.576620283202
34130,189.113414,62.317432,2970.232318482522,1576.6785633781037
34140,189.208152,62.318105,329.45732939435766,1614.2898664855675
34157,189.206826,62.321196,366.3555013308596,1799.7622648331708
34171,189.201134,62.318162,525.0738910963864,1617.7823671665628
34176,189.103234,62.31787,3253.9423919153833,1603.4861562216756
34179,189.213222,62.317853,188.1409848721687,1599.1306695829335
34193,189.217344,62.318489,73.23775500315423,1637.2670496583469
34213,189.21575,62.318288,117.67035185304485,1625.215320033869
34225,189.216747,62.318453,89.87857089509271,1635.110023003559
34251,189.163499,62.31966,1574.0101851242234,1708.4132445193754
34279,189.133641,62.318641,2406.311165919158,1648.3028413806187
34283,189.166138,62.319857,1500.4437553183834,1720.160727747054
34295,189.120755,62.318457,2765.5041794541485,1637.825862139969
34312,189.191872,62.319528,783.1935980317649,1699.87065674529
34313,189.210297,62.318999,269.65294373205506,1667.9120348311844
34314,189.200972,62.318867,529.5713678420252,1660.0843622446082
34315,189.21815,62.319392,50.763032741806455,1691.443369171513
34321,189.156813,62.319303,1760.388192162738,1687.1904127016205
34358,189.144274,62.323907,2109.5233307255585,1963.8525207917228
34370,189.120948,62.319539,2760.016652758288,1702.7369515713017
34393,189.153746,62.31998,1845.8265996268292,1727.9073682327944
34397,189.158344,62.319457,1717.7051539215263,1696.3835695676134
34398,189.173433,62.320198,1297.0991475285082,1740.435863354598
34405,189.150772,62.319452,1928.7560465841598,1696.3251594939575
34407,189.171981,62.320111,1337.5735846123662,1735.250829399538
34413,189.142142,62.31939,2169.300670409928,1692.9106192303698
34444,189.121511,62.320745,2744.204784754007,1775.0709657968437
34461,189.17804,62.320918,1168.6599606750424,1783.5309778178798
34475,189.110651,62.319985,3046.9700840053792,1729.9974277772671
34484,189.141438,62.324542,2188.5067228377575,2002.057343408189
34492,189.169658,62.320397,1402.3043633765828,1752.4686984570617
34502,189.127206,62.320366,2585.513386162431,1752.0751584267473
34504,189.204136,62.321539,441.3204153982533,1820.3691168385594
34506,189.173619,62.320426,1291.903369744481,1754.1114703503772
34527,189.172992,62.320943,1309.352212399488,1785.1464602951382
34548,189.218521,62.321751,40.40023324350659,1832.9819856718168
34560,189.155551,62.321342,1795.4253983434392,1809.569963165195
34564,189.137375,62.32087,2302.0439926901327,1781.8932045534239
34569,189.176267,62.321034,1218.0698737175244,1790.5302983664424
34597,189.195045,62.321262,694.700409182462,1803.8627743536563
34608,189.168954,62.321519,1421.8639520597371,1819.8067919781133
34620,189.165752,62.321669,1511.0968322060908,1828.8913146315026
34623,189.162063,62.321463,1613.9236171106622,1816.634132572366
34625,189.141065,62.321657,2199.135478506927,1828.9711531896028
34633,189.205612,62.322524,400.1624479140155,1879.4541289675653
34641,189.138388,62.322224,2273.6972704993423,1863.0937048686974
34644,189.218966,62.321518,28.0,1819.0000657627352
34649,189.147746,62.321334,2012.9571826354131,1809.3487578394725
34658,189.208338,62.321625,324.2066508351327,1825.4886092405777
34694,189.14784,62.323647,2010.164188335777,1948.125676629552
34718,189.16574,62.322957,1511.3562265891705,1906.1717628740498
34731,189.12143,62.322665,2746.271646274332,1890.2748097377262
34733,189.139326,62.32224,2247.553954958652,1864.01743638255
34747,189.189494,62.323345,849.3358541748694,1928.9299242687157
34753,189.189,62.323596,863.093874250766,1943.9983307248222
34757,189.145396,62.3232,2078.309545484217,1921.3919678346028
34782,189.18311,62.323505,1027.2441488662298,1938.6463154838093
34792,189.166913,62.322578,1478.6872637186516,1883.400249858145
34800,189.179343,62.32358,1132.2223003460913,1943.223227519422
34802,189.20964,62.323731,287.8822258451619,1951.8378414918661
34810,189.136458,62.323478,2327.3791325140246,1938.4096169703662
34819,189.211654,62.323044,231.76578348294424,1910.602167527748
34823,189.130782,62.325622,2485.3678518454853,2067.2820461504853
34832,189.12088,62.322722,2761.594187697616,1893.7202735508326
34833,189.168417,62.32302,1436.7467184153193,1909.8808024570772
34853,189.122514,62.322957,2716.0323826785734,1907.745028113437
34854,189.15111,62.323475,1919.0461841577035,1937.6941804287908
34894,189.174034,62.323828,1280.1645697949843,1958.222015271509
34897,189.187613,62.325028,901.6932962282754,2029.9425793199007
34901,189.113772,62.323696,2959.5866442330407,1952.5010890429694
34904,189.166764,62.328252,1482.5145983575876,2223.844816993289
34923,189.114594,62.323623,2936.6864050945696,1948.0805655566182
34937,189.211415,62.32412,238.40936132144452,1975.1640541491324
34940,189.129031,62.323765,2534.333951756291,1955.936363134184
34955,189.17287,62.324128,1312.5879447883417,1976.2497079663044
34991,189.176116,62.32473,1222.0985738948275,2012.2940918296172
34995,189.189846,62.327579,839.37386893029,2182.9645188903814
35020,189.171264,62.324816,1357.307658171776,2017.5689033555245
35031,189.128582,62.325094,2546.7237052113287,2035.6957619685745
35050,189.136124,62.325101,2336.548186926155,2035.8030270370182
35065,189.179058,62.325196,1140.0906539780262,2040.1894721004282
35068,189.154724,62.325923,1818.16081176618,2084.4565628501914
35069,189.122626,62.326882,2712.5255080420284,2143.240170960311
35095,189.122138,62.326761,2726.135863230864,2136.0024925631787
35126,189.114751,62.325476,2932.115504582358,2059.252963056966
35142,189.166434,62.325542,1491.8660003120112,2061.2533326790854
35177,189.169183,62.326077,1415.2305379518257,2093.2813843966105
35185,189.169439,62.326009,1408.1004781520624,2089.1948371104118
35255,189.191059,62.327448,805.578214444924,2175.084561405758
35257,189.175564,62.327123,1237.3638421507258,2155.8869115365414
35278,189.187834,62.327087,895.4567930350877,2153.478931767804
35285,189.151626,62.329228,1904.2554314869012,2282.8575742442918
35289,189.199134,62.328756,580.5318196355602,2253.4481340403363
35292,189.144387,62.327864,2106.0653357833016,2201.268776419638
35317,189.156207,62.327112,1776.7550014419157,2155.7499551612946
35337,189.173508,62.327425,1294.6396708153316,2174.0548412776043
35378,189.158004,62.327711,1726.6416767494138,2191.634666571954
35395,189.193315,62.327993,742.6967267519321,2207.7492283322918
35400,189.202114,62.328101,497.51353123402805,2214.112114241503
35491,189.129238,62.328839,2528.0978859045754,2260.367885689735
35507,189.15691,62.329136,1757.0311254313601,2277.1683537123063
35508,189.121703,62.328724,2738.0629626816954,2253.802629523696
35526,189.149283,62.330831,1969.4216188059418,2379.116626217259
35527,189.193075,62.329421,749.3371916039505,2293.4330758305878
35539,189.188314,62.330164,881.9664576143841,2338.090942269355
35581,189.127546,62.329371,2575.193597402369,2292.3609712464568
35591,189.196813,62.330073,645.1650771765981,2332.4989465711988
35671,189.135272,62.330462,2359.827350301486,2357.497601848965
35710,189.139593,62.330814,2239.405343288521,2378.4479396189327
35723,189.163232,62.330631,1580.7873205230662,2366.6818802998823
35726,189.134371,62.330913,2384.8918861263955,2384.59404363658
35752,189.165506,62.332023,1517.3473956257258,2450.1391280603784
35757,189.169737,62.331212,1399.5123784980278,2401.3678750586296
35759,189.185577,62.331105,958.1888019048165,2394.6001936873436
35790,189.158896,62.332257,1701.492509217871,2464.3682328565264
35807,189.154051,62.331777,1836.5104501307978,2435.718714787072
35811,189.136577,62.331547,2323.3745150298364,2422.545611951291
35837,189.15555,62.331884,1794.7394481679094,2442.0910715688424
35859,189.143471,62.332019,2131.2615514826393,2450.602617610126
35889,189.19054,62.333156,819.8387742087889,2517.5737826526856
35900,189.170693,62.333065,1372.77721552583,2512.524070135736
35920,189.140536,62.332581,2212.9872766422886,2484.4321623322394
35948,189.188163,62.332932,886.0699322620767,2504.1739491155204
35965,189.198728,62.333533,591.712230612131,2540.073994626149
35977,189.16653,62.333102,1488.7557994504514,2514.8516599931536
35979,189.203119,62.334073,469.36858799380934,2572.421700787452
