 gid ra dec x_pos y_pos
0 41319 53.1246 -27.716981 2171.2429475120052 28.0
1 41610 53.124897 -27.716568 2155.467240355726 52.77979813277125
2 41615 53.12751 -27.71541 2016.6734771141591 122.25606268324191
3 41632 53.121448 -27.715717 2338.6634971426347 103.84053779100941
4 41652 53.124669 -27.716277 2167.5773252320205 70.24003621765587
5 41654 53.120903 -27.715388 2367.612024395562 123.58021184302197
6 41761 53.121673 -27.715381 2326.712569841934 124.00069848739258
7 41839 53.123156 -27.715555 2247.94130497917 113.56089019121828
8 41923 53.124951 -27.714585 2152.596866732357 171.76001420328976
9 41982 53.134887 -27.714042 1624.8273842429562 204.30938316059473
10 42038 53.13529 -27.713804 1603.4198404911322 218.5872730183728
11 42185 53.138362 -27.705886 1440.1841730999759 693.6498598466205
12 42196 53.129005 -27.713425 1937.2587402053186 241.35278819420637
13 42235 53.134819 -27.713359 1628.4353029793483 245.28983453771434
14 42287 53.137001 -27.712848 1512.5300755054168 275.9375288782612
15 42471 53.122445 -27.712005 2285.707381247311 326.56140379214776
16 42472 53.122068 -27.712458 2305.7326527929426 299.38125746372316
17 42504 53.123503 -27.711823 2229.50864808759 337.481328770069
18 42520 53.126369 -27.711246 2077.271666731912 372.09871444370583
19 42576 53.125352 -27.711913 2131.293726541767 332.07997915530177
20 42610 53.121846 -27.711214 2317.5253123268185 374.02136427232836
21 42615 53.127414 -27.712062 2021.7650032865122 323.13672860074803
22 42652 53.126815 -27.711208 2053.5808727728045 374.3779815793423
23 42706 53.122824 -27.711195 2265.5756940184956 375.16154250117324
24 42711 53.126478 -27.710848 2071.4810580218646 395.97860145457526
25 42762 53.120572 -27.710841 2385.1983196681203 396.4005732017213
26 42788 53.143497 -27.710568 1167.4561859305131 412.68886501228553
27 42798 53.119858 -27.710493 2423.1253495603387 417.27984514065247
28 42809 53.145921 -27.710523 1038.696337443781 415.3659259265296
29 42820 53.142135 -27.711249 1239.8100834321422 371.84054289592314
30 42822 53.141234 -27.710542 1287.6632031275358 414.2680046697824
31 42915 53.138677 -27.709999 1423.4831109925608 446.86705316627194
32 42956 53.129288 -27.710163 1922.216173662263 437.0724884313677
33 42958 53.119303 -27.709312 2452.6081454641853 488.13926803459617
34 42981 53.131458 -27.709355 1806.9450876096225 485.5454829835289
35 43007 53.146974 -27.709766 982.7535343352438 460.7752867893578
36 43018 53.127035 -27.709548 2041.8913902171435 473.977838098599
37 43028 53.13053 -27.70957 1856.240454691134 472.6487471983164
38 43048 53.131798 -27.709743 1788.886298988259 462.2641216332686
39 43071 53.122589 -27.707908 2278.0587376456233 572.3820469481761
40 43101 53.119698 -27.708928 2431.626654818944 511.1798815837974
41 43126 53.14263 -27.708707 1213.4918874859477 524.3567485391395
42 43144 53.143376 -27.70893 1173.867026337507 510.97020012498615
43 43262 53.133931 -27.709016 1675.5796336787143 505.874935465612
44 43264 53.135733 -27.708434 1579.854975664165 540.7856430004904
45 43266 53.142836 -27.706936 1202.531905731511 630.6152627595948
46 43283 53.1355 -27.708069 1592.2295642926028 562.6869937234515
47 43342 53.144194 -27.706711 1130.3921640839244 644.1031453066062
48 43352 53.129559 -27.707407 1907.8118318820116 602.4321436877581
49 43356 53.139191 -27.708473 1396.1677854104737 538.4237073479017
50 43401 53.139903 -27.704769 1358.3156245827058 760.6591698091688
51 43417 53.130644 -27.707884 1850.1783856351913 573.8086285572863
52 43548 53.129374 -27.707344 1917.6388426003186 606.2126894885841
53 43567 53.133635 -27.701951 1691.2653824436156 929.7775443668288
54 43572 53.142153 -27.707427 1238.8177325843926 601.16099452032
55 43581 53.122975 -27.706583 2257.5543369883844 651.8822577337196
56 43596 53.12862 -27.707294 1957.6912616576237 609.2147277525983
57 43618 53.13098 -27.706502 1832.324562192608 656.7276869644011
58 43638 53.15037 -27.70684 802.3221616849196 636.2978158601254
59 43651 53.123191 -27.706865 2246.0803737902215 634.9621803351947
60 43659 53.126007 -27.706056 2096.4922015026523 683.5000712536348
61 43727 53.130462 -27.701639 1859.8226745842867 948.5103169138165
62 43762 53.142018 -27.706186 1245.977262569707 675.6223262735984
